name,rank,total,comps,details
Moritz Fiebig,1,197,3,"GTD'24 (1.pl; 80pts), CF Semis '24 (10.pl; 77pts), CF Games '24 (33.pl; 40pts)"
Lenn Postel,2,136,3,"iF3 Worlds '24 (3.pl; 100pts), Czech TD (1.pl; 20pts), DBVfF DM'24 (2.pl; 16pts)"
Leon Wagenknecht,3,114,3,"CF Semis '24 MMFF (3.pl; 46pts), CFG '24 MMFF (20.pl; 36pts), Low'24 (7.pl; 32pts)"
Tobias Fox,4,109,3,"Low'24 (2.pl; 72pts), Liege (1.pl; 20pts), CF Semis '24 (34.pl; 17pts)"
Nick Mentzel,5,109,3,"Low'24 (5.pl; 48pts), GTD'24 (5.pl; 48pts), Lions '24 (2.pl; 13pts)"
Jan Arnd Finkenberg,6,96,3,"GTD'24 (4.pl; 56pts), Bohemian TD (1.pl; 20pts), Lions '24 (1.pl; 20pts)"
Felix Rehder,7,93,3,"CF Semis '24 MMFF (5.pl; 43pts), GTD'24 (6.pl; 40pts), CFG '24 MMFF (28.pl; 10pts)"
Benjamin Huxol,8,90,3,"iF3 Euros '24 (2.pl; 42pts), Marbella (5.pl; 36pts), DBVfF DM'24 (3.pl; 12pts)"
Karl Feldmer,9,71,3,"iF3 Worlds '24 MMFF (3.pl; 50pts), CF Semis '24 MMFF (23.pl; 13pts), DBVfF DM'24 (4.pl; 8pts)"
Eric Zuchold,10,64,1,Low'24 (3.pl; 64pts)
Noel Nagel,11,54,2,"iF3 Worlds '24 MMFF (3.pl; 50pts), DBVfF DM'24 (5.pl; 4pts)"
Odo Federolf,12,45,2,"CISM Euro'24 (1.pl; 30pts), BtB '24 MM (1.pl; 15pts)"
Julius Kieser,13,40,2,"DBVfF DM'24 (1.pl; 20pts), Swiss TD (1.pl; 20pts)"
Christoph Verrieth,14,16,1,GTD'24 (9.pl; 16pts)
Oskar Günther,15,15,1,BtB '24 MF (1.pl; 15pts)
Daniel Goncharov,16,13,1,CF Semis '24 MMFF (23.pl; 13pts)
Lars Jakobeit,17,11,1,CF Semis '24 MMFF (24.pl; 11pts)
Hendrik Senf,17,11,1,CF Semis '24 MMFF (24.pl; 11pts)
Jona Kemmann,19,6,1,Lions '24 (3.pl; 6pts)
Max Hinkofer,19,6,1,Swiss TD (3.pl; 6pts)
