name,rank,total,comps,details
Julia Jakobsen,1,190,3,"FTD '26 (11.pl; 90pts), GTD'25 (1.pl; 80pts), DBVfF DM'25 (1.pl; 20pts)"
Anja Keller,2,138,3,"MAD '26 (20.pl; 63pts), WFP 1 London '26 (25.pl; 55pts), Czechia TD '25 (1.pl; 20pts)"
Sarah Kay,3,103,3,"Low'25 (2.pl; 72pts), MAD '26 (32.pl; 27pts), DBVfF DM'25 (5.pl; 4pts)"
Maja Laloš,4,57,3,"GTD'25 (7.pl; 32pts), Alsace '25 (2.pl; 13pts), Turku '26 (3.pl; 12pts)"
Jana Geertz,5,56,1,GTD'25 (4.pl; 56pts)
Lidia Barto,6,53,2,"GTD'25 (6.pl; 40pts), Liege '25 (2.pl; 13pts)"
Sophia Frey,7,40,1,Low'25 (6.pl; 40pts)
Vroni Wirth,8,36,2,"German Classic '26 (1.pl; 20pts), DBVfF DM'25 (2.pl; 16pts)"
Vivien-Marie Christian,9,33,1,WFP Finals '25 (26.pl; 33pts)
Judith Melcher,10,32,1,Low'25 (7.pl; 32pts)
Pia Zeller,11,28,2,"Lion '26 (1.pl; 20pts), DBVfF DM'25 (4.pl; 8pts)"
Susan Treppner,12,22,2,"GTD'25 (9.pl; 16pts), Liege '25 (3.pl; 6pts)"
Charis Zach,13,16,1,German Classic '26 (2.pl; 16pts)
Elena Pommer,13,16,1,Lion '26 (2.pl; 16pts)
Laura Dörr,15,12,1,German Classic '26 (3.pl; 12pts)
Anna Gebel,15,12,1,Lion '26 (3.pl; 12pts)
Kay Wirkner,16,12,1,DBVfF DM'25 (3.pl; 12pts)
Anna Bittner,18,12,2,"Czechia TD '25 (4.pl; 8pts), German Classic '26 (5.pl; 4pts)"
Katharina Blank,19,8,1,German Classic '26 (4.pl; 8pts)
Laura Gläsner,19,8,1,Lion '26 (4.pl; 8pts)
Christin Chollee,21,4,1,Lion '26 (5.pl; 4pts)
