name,rank,total,comps,details
Moritz Fiebig,1,276,3,"FTD '25 (1.pl; 120pts), GTD'24 (1.pl; 80pts), Wodland Fest '25 (2.pl; 76pts)"
Jan Arnd Finkenberg,2,181,3,"FTD '25 (6.pl; 105pts), GTD'24 (4.pl; 56pts), Bohemian TD '25 (1.pl; 20pts)"
Eric Zuchold,3,179,3,"FTD '25 (8.pl; 99pts), Low'24 (3.pl; 64pts), DBVfF DM'25 (2.pl; 16pts)"
Lenn Postel,4,148,3,"iF3 Worlds '24 (3.pl; 100pts), Wodland Fest '25 (14.pl; 28pts), Czech TD (1.pl; 20pts)"
Benjamin Huxol,5,98,3,"iF3 Euros '24 (2.pl; 42pts), Marbella (5.pl; 36pts), DBVfF DM'25 (1.pl; 20pts)"
Nick Mentzel,6,96,2,"Low'24 (5.pl; 48pts), GTD'24 (5.pl; 48pts)"
Tobias Fox,7,92,2,"Low'24 (2.pl; 72pts), Liege (1.pl; 20pts)"
Felix Rehder,8,84,3,"GTD'24 (6.pl; 40pts), FTD '25 MMFF (4.pl; 34pts), CFG '24 MMFF (28.pl; 10pts)"
Karl Feldmer,9,80,3,"iF3 Worlds '24 MMFF (3.pl; 50pts), FTD '25 (35.pl; 18pts), Lions '25 (3.pl; 12pts)"
Noel Nagel,10,76,2,"iF3 Worlds '24 MMFF (3.pl; 50pts), FTD '25 MMFF (8.pl; 26pts)"
Leon Wagenknecht,11,68,2,"CFG '24 MMFF (20.pl; 36pts), Low'24 (7.pl; 32pts)"
Odo Federolf,12,45,2,"CISM Euro'24 (1.pl; 30pts), BtB '24 MM (1.pl; 15pts)"
Julius Kieser,13,36,2,"Swiss TD (1.pl; 20pts), Lions '25 (2.pl; 16pts)"
Robert Dopke,14,26,1,FTD '25 MMFF (8.pl; 26pts)
Oskar Günther,15,23,2,"BtB '24 MF (1.pl; 15pts), Lions '25 (4.pl; 8pts)"
Max Hinkofer,16,22,3,"Bohemian TD '25 (3.pl; 12pts), Swiss TD (3.pl; 6pts), DBVfF DM'25 (5.pl; 4pts)"
Christoph Verrieth,17,16,1,GTD'24 (9.pl; 16pts)
Anton Quiring,18,10,1,FTD '25 MMFF (16.pl; 10pts)
Tobias Becker,19,4,1,Lions '25 (5.pl; 4pts)
