name,rank,total,comps,details
Moritz Fiebig,1,276,3,"FTD '25 (1.pl; 120pts), GTD'24 (1.pl; 80pts), Wodland Fest '25 (2.pl; 76pts)"
Jan Arnd Finkenberg,2,181,3,"FTD '25 (6.pl; 105pts), GTD'24 (4.pl; 56pts), Bohemian TD '24 (1.pl; 20pts)"
Eric Zuchold,3,163,2,"FTD '25 (8.pl; 99pts), Low'24 (3.pl; 64pts)"
Lenn Postel,4,148,3,"iF3 Worlds '24 (3.pl; 100pts), Wodland Fest '25 (14.pl; 28pts), Czech TD (1.pl; 20pts)"
Nick Mentzel,5,109,3,"Low'24 (5.pl; 48pts), GTD'24 (5.pl; 48pts), Lions '24 (2.pl; 13pts)"
Tobias Fox,6,92,2,"Low'24 (2.pl; 72pts), Liege (1.pl; 20pts)"
Benjamin Huxol,7,90,3,"iF3 Euros '24 (2.pl; 42pts), Marbella (5.pl; 36pts), DBVfF DM'24 (3.pl; 12pts)"
Felix Rehder,8,84,3,"GTD'24 (6.pl; 40pts), FTD '25 MMFF (4.pl; 34pts), CFG '24 MMFF (28.pl; 10pts)"
Noel Nagel,9,80,3,"iF3 Worlds '24 MMFF (3.pl; 50pts), FTD '25 MMFF (8.pl; 26pts), DBVfF DM'24 (5.pl; 4pts)"
Karl Feldmer,10,76,3,"iF3 Worlds '24 MMFF (3.pl; 50pts), FTD '25 (35.pl; 18pts), DBVfF DM'24 (4.pl; 8pts)"
Leon Wagenknecht,11,68,2,"CFG '24 MMFF (20.pl; 36pts), Low'24 (7.pl; 32pts)"
Odo Federolf,12,45,2,"CISM Euro'24 (1.pl; 30pts), BtB '24 MM (1.pl; 15pts)"
Julius Kieser,13,40,2,"DBVfF DM'24 (1.pl; 20pts), Swiss TD (1.pl; 20pts)"
Robert Dopke,14,26,1,FTD '25 MMFF (8.pl; 26pts)
Christoph Verrieth,15,16,1,GTD'24 (9.pl; 16pts)
Oskar Günther,16,15,1,BtB '24 MF (1.pl; 15pts)
Anton Quiring,17,10,1,FTD '25 MMFF (16.pl; 10pts)
Jona Kemmann,18,6,1,Lions '24 (3.pl; 6pts)
Max Hinkofer,18,6,1,Swiss TD (3.pl; 6pts)
