name,rank,total,comps,details
Julia Jakobsen,1,165,3,"iF3 Worlds '24 (4.pl; 75pts), GTD'24 (5.pl; 48pts), iF3 Euros '24 (2.pl; 42pts)"
Sarah Antonia Ziemens,2,89,3,"iF3 Worlds '24 MMFF (3.pl; 50pts), FTD '25 MMFF (8.pl; 26pts), Czech TD (2.pl; 13pts)"
Jana Geertz,3,86,3,"FTD '25 MMFF (2.pl; 38pts), GTD'24 (7.pl; 32pts), Lions '25 (2.pl; 16pts)"
Vivien-Marie Christian,4,66,2,"iF3 Worlds '24 MMFF (3.pl; 50pts), DBVfF DM'25 (2.pl; 16pts)"
Katharina Isele,5,45,1,FTD '25 (26.pl; 45pts)
Lidia Barto,6,39,3,"GTD'24 (9.pl; 16pts), Liege '25 (2.pl; 13pts), FTD '25 MMFF (16.pl; 10pts)"
Caroline Müller-Korn,7,28,2,"Marbella (8.pl; 18pts), FTD '25 MMFF (16.pl; 10pts)"
Christina Petersen,8,26,1,FTD '25 MMFF (8.pl; 26pts)
Susan Treppner,9,24,3,"Bohemian TD '25 (3.pl; 12pts), Liege '25 (3.pl; 6pts), Amsterdam (3.pl; 6pts)"
Maja Laloš,10,13,1,Alsace '25 (2.pl; 13pts)
Pia Zeller,11,12,1,Lions '25 (3.pl; 12pts)
Anja Keller,12,10,1,SiD '25 (3.pl; 10pts)
Anna Bittner,13,8,1,Lions '25 (4.pl; 8pts)
Franziska Bröhl,13,8,1,DBVfF DM'25 (4.pl; 8pts)
Verena Evelyn Reimers,15,6,1,Athens TD '25 (10.pl; 6pts)
Katharina Blank,16,4,1,Lions '25 (5.pl; 4pts)
