name,rank,total,comps,details
Julia Jakobsen,1,154,3,"GTD'25 (1.pl; 80pts), Wodland Fest '25 (11.pl; 40pts), FTD '25 MMFF (4.pl; 34pts)"
Jana Geertz,2,110,3,"GTD'25 (4.pl; 56pts), FTD '25 MMFF (2.pl; 38pts), Lions '25 (2.pl; 16pts)"
Sarah Kay,3,72,1,Low'25 (2.pl; 72pts)
Lidia Barto,4,63,3,"GTD'25 (6.pl; 40pts), Liege '25 (2.pl; 13pts), FTD '25 MMFF (16.pl; 10pts)"
Vivien-Marie Christian,5,49,2,"WFP Finals '25 (26.pl; 33pts), DBVfF DM'25 (2.pl; 16pts)"
Katharina Isele,6,45,1,FTD '25 (26.pl; 45pts)
Maja Laloš,7,45,2,"GTD'25 (7.pl; 32pts), Alsace '25 (2.pl; 13pts)"
Sophia Frey,8,40,1,Low'25 (6.pl; 40pts)
Susan Treppner,9,34,3,"GTD'25 (9.pl; 16pts), Bohemian TD '25 (3.pl; 12pts), Liege '25 (3.pl; 6pts)"
Franziska Bröhl,10,33,2,"iF3 Euros '25 (6.pl; 25pts), DBVfF DM'25 (4.pl; 8pts)"
Judith Melcher,11,32,1,Low'25 (7.pl; 32pts)
Anja Keller,12,30,2,"Czechia TD '25 (1.pl; 20pts), SiD '25 (3.pl; 10pts)"
Christina Petersen,13,26,1,FTD '25 MMFF (8.pl; 26pts)
Sarah Antonia Ziemens,13,26,1,FTD '25 MMFF (8.pl; 26pts)
Katharina Blank,15,19,2,"Wodla Oslo '25 MF (3.pl; 15pts), Lions '25 (5.pl; 4pts)"
Anna Bittner,16,16,2,"Lions '25 (4.pl; 8pts), Czechia TD '25 (4.pl; 8pts)"
Pia Zeller,17,12,1,Lions '25 (3.pl; 12pts)
Caroline Müller-Korn,18,10,1,FTD '25 MMFF (16.pl; 10pts)
Verena Evelyn Reimers,19,6,1,Athens TD '25 (10.pl; 6pts)
