name,rank,total,rank_diff,total_diff,comps,details
Moritz Fiebig,1,276,0.0,56.0,3,"FTD '25 (1.pl; 120pts), GTD'24 (1.pl; 80pts), Wodland Fest '25 (2.pl; 76pts)"
Jan Arnd Finkenberg,2,181,4.0,85.0,3,"FTD '25 (6.pl; 105pts), GTD'24 (4.pl; 56pts), Bohemian TD '24 (1.pl; 20pts)"
Eric Zuchold,3,163,7.0,99.0,2,"FTD '25 (8.pl; 99pts), Low'24 (3.pl; 64pts)"
Lenn Postel,4,148,-2.0,12.0,3,"iF3 Worlds '24 (3.pl; 100pts), Wodland Fest '25 (14.pl; 28pts), Czech TD (1.pl; 20pts)"
Nick Mentzel,5,109,0.0,0.0,3,"Low'24 (5.pl; 48pts), GTD'24 (5.pl; 48pts), Lions '24 (2.pl; 13pts)"
Tobias Fox,6,92,-2.0,-17.0,2,"Low'24 (2.pl; 72pts), Liege (1.pl; 20pts)"
Benjamin Huxol,7,90,1.0,0.0,3,"iF3 Euros '24 (2.pl; 42pts), Marbella (5.pl; 36pts), DBVfF DM'24 (3.pl; 12pts)"
Noel Nagel,8,80,3.0,26.0,3,"iF3 Worlds '24 MMFF (3.pl; 50pts), FTD '25 MMFF (8.pl; 26pts), DBVfF DM'24 (5.pl; 4pts)"
Karl Feldmer,9,76,0.0,5.0,3,"iF3 Worlds '24 MMFF (3.pl; 50pts), FTD '25 (35.pl; 18pts), DBVfF DM'24 (4.pl; 8pts)"
Leon Wagenknecht,10,68,-7.0,-46.0,2,"CFG '24 MMFF (20.pl; 36pts), Low'24 (7.pl; 32pts)"
Felix Rehder,11,50,-4.0,-43.0,2,"GTD'24 (6.pl; 40pts), CFG '24 MMFF (28.pl; 10pts)"
Odo Federolf,12,45,0.0,0.0,2,"CISM Euro'24 (1.pl; 30pts), BtB '24 MM (1.pl; 15pts)"
Julius Kieser,13,40,0.0,0.0,2,"DBVfF DM'24 (1.pl; 20pts), Swiss TD (1.pl; 20pts)"
Felix Rheder,14,34,,,1,FTD '25 MMFF (4.pl; 34pts)
Robert Dopke,15,26,,,1,FTD '25 MMFF (8.pl; 26pts)
Christoph Verrieth,16,16,-2.0,0.0,1,GTD'24 (9.pl; 16pts)
Oskar Günther,17,15,-2.0,0.0,1,BtB '24 MF (1.pl; 15pts)
Anton Quiring,18,10,,,1,FTD '25 MMFF (16.pl; 10pts)
Jona Kemmann,19,6,0.0,0.0,1,Lions '24 (3.pl; 6pts)
Max Hinkofer,19,6,0.0,0.0,1,Swiss TD (3.pl; 6pts)
