name,rank,total,rank_diff,total_diff,comps,details
Julia Jakobsen,1,154,0.0,-11.0,3,"GTD'25 (1.pl; 80pts), Wodland Fest '25 (11.pl; 40pts), FTD '25 MMFF (4.pl; 34pts)"
Jana Geertz,2,110,1.0,24.0,3,"GTD'25 (4.pl; 56pts), FTD '25 MMFF (2.pl; 38pts), Lions '25 (2.pl; 16pts)"
Sarah Kay,3,72,,72.0,1,Low'25 (2.pl; 72pts)
Lidia Barto,4,63,2.0,24.0,3,"GTD'25 (6.pl; 40pts), Liege '25 (2.pl; 13pts), FTD '25 MMFF (16.pl; 10pts)"
Vivien-Marie Christian,5,49,-1.0,-17.0,2,"WFP Finals '25 (26.pl; 33pts), DBVfF DM'25 (2.pl; 16pts)"
Katharina Isele,6,45,-1.0,0.0,1,FTD '25 (26.pl; 45pts)
Maja Laloš,7,45,3.0,32.0,2,"GTD'25 (7.pl; 32pts), Alsace '25 (2.pl; 13pts)"
Sophia Frey,8,40,,40.0,1,Low'25 (6.pl; 40pts)
Susan Treppner,9,34,0.0,10.0,3,"GTD'25 (9.pl; 16pts), Bohemian TD '25 (3.pl; 12pts), Liege '25 (3.pl; 6pts)"
Franziska Bröhl,10,33,3.0,25.0,2,"iF3 Euros '25 (6.pl; 25pts), DBVfF DM'25 (4.pl; 8pts)"
Judith Melcher,11,32,,32.0,1,Low'25 (7.pl; 32pts)
Anja Keller,12,30,0.0,20.0,2,"Czechia TD '25 (1.pl; 20pts), SiD '25 (3.pl; 10pts)"
Christina Petersen,13,26,-5.0,0.0,1,FTD '25 MMFF (8.pl; 26pts)
Sarah Antonia Ziemens,13,26,-11.0,-63.0,1,FTD '25 MMFF (8.pl; 26pts)
Anna Bittner,15,16,-2.0,8.0,2,"Lions '25 (4.pl; 8pts), Czechia TD '25 (4.pl; 8pts)"
Pia Zeller,16,12,-5.0,0.0,1,Lions '25 (3.pl; 12pts)
Caroline Müller-Korn,17,10,-10.0,-18.0,1,FTD '25 MMFF (16.pl; 10pts)
Verena Evelyn Reimers,18,6,-3.0,0.0,1,Athens TD '25 (10.pl; 6pts)
Katharina Blank,19,4,-3.0,0.0,1,Lions '25 (5.pl; 4pts)
